CECODID	CMERKM	CODTXTLD	CODTXTKD	CODTXTLF	CODTXTKF	CODTXTLI	CODTXTKI	CEXPDAT
0	DOFFADR	Nein	Nein	Non	Non	No	No	2026-05-08
0	GSCHUTZR	Nein	Nein	Non	Non	No	No	2026-05-08
0	WKCHE	Nein	Nein	Non	Non	No	No	2026-05-08
0	WMEHRG	Nein	Nein	Non	Non	No	No	2026-05-08
1	DOFFADR	Ja	Ja	Oui	Oui	Sì	Sì	2026-05-08
1	GSCHUTZR	Ja	Ja	Oui	Oui	Sì	Sì	2026-05-08
1	WKCHE	Ja	Ja	Oui	Oui	Sì	Sì	2026-05-08
1	WMEHRG	Ja	Ja	Oui	Oui	Sì	Sì	2026-05-08
851	GVOLSCE	Gemäss amtlicher Vermessung	Gemäss amtlicher Vermessung	Selon mensuration officielle	Selon mensuration officielle	Secondo la misurazione ufficiale	Secondo la misurazione ufficiale	2026-05-08
852	GVOLSCE	Gemäss amtlicher Schätzung	Gemäss amtlicher Schätzung	Selon estimation officielle	Selon estimation officielle	Secondo la stima ufficiale	Secondo la stima ufficiale	2026-05-08
852	GWAERSCEH1	Gemäss amtlicher Schätzung	Gemäss amtlicher Schätzung	Selon estimation officielle	Selon estimation officielle	Secondo la stima ufficiale	Secondo la stima ufficiale	2026-05-08
852	GWAERSCEH2	Gemäss amtlicher Schätzung	Gemäss amtlicher Schätzung	Selon estimation officielle	Selon estimation officielle	Secondo la stima ufficiale	Secondo la stima ufficiale	2026-05-08
852	GWAERSCEW1	Gemäss amtlicher Schätzung	Gemäss amtlicher Schätzung	Selon estimation officielle	Selon estimation officielle	Secondo la stima ufficiale	Secondo la stima ufficiale	2026-05-08
852	GWAERSCEW2	Gemäss amtlicher Schätzung	Gemäss amtlicher Schätzung	Selon estimation officielle	Selon estimation officielle	Secondo la stima ufficiale	Secondo la stima ufficiale	2026-05-08
853	GVOLSCE	Gemäss Gebäudeversicherung	Gemäss Gebäudeversicherung	Selon assurance immobilière	Selon assurance immobilière	Secondo l'assicurazione immobiliare	Secondo l'assicurazione immobiliare	2026-05-08
853	GWAERSCEH1	Gemäss Gebäudeversicherung	Gemäss Gebäudeversicherung	Selon assurance immobilière	Selon assurance immobilière	Secondo l'assicurazione immobiliare	Secondo l'assicurazione immobiliare	2026-05-08
853	GWAERSCEH2	Gemäss Gebäudeversicherung	Gemäss Gebäudeversicherung	Selon assurance immobilière	Selon assurance immobilière	Secondo l'assicurazione immobiliare	Secondo l'assicurazione immobiliare	2026-05-08
853	GWAERSCEW1	Gemäss Gebäudeversicherung	Gemäss Gebäudeversicherung	Selon assurance immobilière	Selon assurance immobilière	Secondo l'assicurazione immobiliare	Secondo l'assicurazione immobiliare	2026-05-08
853	GWAERSCEW2	Gemäss Gebäudeversicherung	Gemäss Gebäudeversicherung	Selon assurance immobilière	Selon assurance immobilière	Secondo l'assicurazione immobiliare	Secondo l'assicurazione immobiliare	2026-05-08
855	GWAERSCEH1	Gemäss Feuerungskontrolle	Gemäss Feuerungskontrolle	Selon contrôle des installations de chauffage	Selon contrôle chauffage	Secondo il controllo degli impianti di riscaldamento	Secondo il controllo riscaldamento	2026-05-08
855	GWAERSCEH2	Gemäss Feuerungskontrolle	Gemäss Feuerungskontrolle	Selon contrôle des installations de chauffage	Selon contrôle chauffage	Secondo il controllo degli impianti di riscaldamento	Secondo il controllo riscaldamento	2026-05-08
855	GWAERSCEW1	Gemäss Feuerungskontrolle	Gemäss Feuerungskontrolle	Selon contrôle des installations de chauffage	Selon contrôle chauffage	Secondo il controllo degli impianti di riscaldamento	Secondo il controllo riscaldamento	2026-05-08
855	GWAERSCEW2	Gemäss Feuerungskontrolle	Gemäss Feuerungskontrolle	Selon contrôle des installations de chauffage	Selon contrôle chauffage	Secondo il controllo degli impianti di riscaldamento	Secondo il controllo riscaldamento	2026-05-08
857	GVOLSCE	Gemäss Eigentümer/in / Verwaltung	Gemäss Kontaktperson	Selon propriétaire / gérant d'immeuble	Selon personne de contact	Secondo il proprietario / gerente immobiliare	Secondo la persona di contacto	2026-05-08
857	GWAERSCEH1	Gemäss Eigentümer/in / Verwaltung	Gemäss Kontaktperson	Selon propriétaire / gérant d'immeuble	Selon personne de contact	Secondo il proprietario / gerente immobiliare	Secondo la persona di contacto	2026-05-08
857	GWAERSCEH2	Gemäss Eigentümer/in / Verwaltung	Gemäss Kontaktperson	Selon propriétaire / gérant d'immeuble	Selon personne de contact	Secondo il proprietario / gerente immobiliare	Secondo la persona di contacto	2026-05-08
857	GWAERSCEW1	Gemäss Eigentümer/in / Verwaltung	Gemäss Kontaktperson	Selon propriétaire / gérant d'immeuble	Selon personne de contact	Secondo il proprietario / gerente immobiliare	Secondo la persona di contacto	2026-05-08
857	GWAERSCEW2	Gemäss Eigentümer/in / Verwaltung	Gemäss Kontaktperson	Selon propriétaire / gérant d'immeuble	Selon personne de contact	Secondo il proprietario / gerente immobiliare	Secondo la persona di contacto	2026-05-08
858	GVOLSCE	Gemäss Gebäudeenergieausweis der Kantone (GEAK)	Gemäss GEAK	Selon Certificat énergétique cantonal des bâtiments (CECB)	Selon CECB	Secondo il Certificato energetico cantonale degli edifici (CECE)	Secondo il CECE	2026-05-08
858	GWAERSCEH1	Gemäss Gebäudeenergieausweis der Kantone (GEAK)	Gemäss GEAK	Selon Certificat énergétique cantonal des bâtiments (CECB)	Selon CECB	Secondo il Certificato energetico cantonale degli edifici (CECE)	Secondo il CECE	2026-05-08
858	GWAERSCEH2	Gemäss Gebäudeenergieausweis der Kantone (GEAK)	Gemäss GEAK	Selon Certificat énergétique cantonal des bâtiments (CECB)	Selon CECB	Secondo il Certificato energetico cantonale degli edifici (CECE)	Secondo il CECE	2026-05-08
